Product Id,Net Weight,Size,Value,Storage,Packaging Cost,Expiry Period,Length,Height,Width,Volume,Perishable Index,Flammability Index,F145,F7987,F992,Air,Road,Rail,Sea
8c54Qe7RDn282Mopja7dUq,0.231087,A,-0.489163,0,0.019398,0.749709,-0.444208,0.634931,0.712466,-0.089034,-0.456208,0.832768,-0.136432,-0.444208,-0.089034,1,0,0,0
MxcoJYgBCccRhusziJSHm7,0.113633,D,-0.632586,0,0.300071,0.729867,-0.413723,0.574507,0.320112,0.039395,-0.552568,0.662736,0.017452,-0.413723,0.039395,1,0,0,0
GMakRsbTjkRo9t6SyPmgiZ,0.09389,E,-0.825227,0,0.199524,0.714021,-0.597498,0.739483,0.40502,0.127866,-0.717124,-0.569244,-0.595166,-0.597498,,1,0,1,0
TY2X3ieWcBtUzhbT4JpbY9,0.134954,D,-0.413436,0,-0.049054,0.748012,-0.606818,0.679655,0.374227,-0.284391,0.881933,0.939153,-0.377911,-0.606818,-0.284391,1,0,0,1
2hRnYVqZ9abtarprshAkpA,0.026086,C,-0.855886,0,0.20952,0.730373,-0.379819,0.803147,0.523394,-0.034948,0.745789,-0.312293,0.8149,-0.379819,-0.034948,1,1,0,0
5fGcnnnR9dpS6usj9Etfy2,-0.070086,B,-0.538504,0,-0.07506,0.502324,-0.572873,0.448812,0.338975,-0.103531,0.315298,0.533194,-0.668725,-0.572873,-0.103531,1,0,0,0
SwL7362FBu9kWYCPU64Eko,0.318227,D,-0.583503,0,0.159678,0.374721,-0.494105,0.417872,0.675815,0.02771,0.339223,-0.001918,-0.241724,-0.494105,,1,0,0,1
YRCijyUdL76cdd79yqbMbU,0.135128,E,-0.643989,0,-0.168456,,-0.832218,0.548751,0.295684,0.089306,0.436164,0.481766,0.570922,-0.832218,,1,0,0,0
8opu6EDpqps5yt6dRAcVkZ,-0.124123,B,-0.723492,0,0.066166,0.474471,-0.775115,0.531645,0.362976,0.004726,0.951958,-0.275227,0.621504,-0.775115,0.004726,1,0,0,0
XJPfVb8cwG5fEYCWPWdCHx,0.169247,C,-0.384021,0,0.133615,0.799957,-0.70216,0.604693,0.259685,-0.169063,-0.456453,-0.374056,-0.623563,-0.70216,,1,0,0,0
EqWeLboKkXuL3wg4juJ2Qy,0.186715,E,-0.882147,0,-0.214772,0.852065,-0.592268,0.756873,0.747806,0.097544,-0.360583,0.888889,-0.060702,-0.592268,0.097544,1,0,0,1
mpyqZYgRMy4t8JGcusT7Uc,0.193836,D,-0.672388,0,0.070343,0.543461,-0.651391,0.520765,0.291585,-0.123887,-0.646573,0.600101,0.416164,194,-0.123887,1,0,0,0
Kf9NxvfXabaV4xW2YF5NgS,0.243008,C,-0.808332,0,0.099271,0.84456,-0.378389,0.633697,0.419937,0.219378,-0.156712,-0.735447,-0.884112,-0.378389,0.219378,1,1,0,0
RKUmPfsUTPcoPj2AGZiAMY,0.105394,D,-0.868686,0,0.006563,0.480172,-0.854964,0.371146,0.464965,0.108638,-0.981137,0.841977,-0.763618,-0.854964,0.108638,1,1,0,1
8ZLU4zoX7gbFGKQEyyvWMv,-0.088432,C,-0.72617,0,-0.087246,0.604751,-0.413092,0.444086,0.32086,-0.009818,-0.971952,-0.039949,-0.79663,-0.413092,-0.009818,1,1,0,1
B6itpkrumZHtrZUAWSnqd7,0.285809,E,-0.418328,0,0.291593,0.702373,-0.632159,0.512372,0.386616,-0.241645,0.475008,-0.606818,0.476552,-0.632159,,1,1,0,0
KiCHvPZSVsXQXWpNiGMhU6,0.233039,E,-0.588057,0,0.003755,0.398158,-0.7786,0.786016,0.49685,-0.241339,0.965631,-0.273322,-0.071092,-0.7786,-0.241339,1,0,0,0
JzPhsFqYtQK7uoGQLota4Q,0.288215,B,-0.670875,0,0.103437,0.370983,-0.613735,0.414941,0.71169,-0.274981,-0.584813,0.405203,-0.316518,-0.613735,-0.274981,1,0,0,0
D3s7sCZ4fPdxriQxX5cVE2,0.130253,D,-0.861064,0,-0.059111,0.457693,-0.630773,0.750479,0.610374,-0.025488,0.05148,-0.641575,0.768394,-0.630773,-0.025488,1,0,0,0
hTdX65k8x7Q9QtSXzndJ97,-0.09433,E,-0.481786,0,0.220859,0.834397,-0.640659,0.30414,0.395274,0.13245,-0.4693,-0.571019,-0.246581,-0.640659,0.13245,1,0,1,0
6N6hTAR4kyHsnHKrPCA4rY,-0.110789,D,-0.838099,0,0.196035,0.854365,-0.600348,0.534843,0.34844,-0.014119,-0.984734,0.295289,-0.422758,-0.600348,-0.014119,1,1,0,0
RkTmVrAVuBfpsvjzmSisqK,-0.145,D,-0.775526,0,0.079921,0.840835,-0.723204,0.587982,0.269504,0.026771,0.92753,-0.915558,0.430388,127,,1,0,0,0
7TMjwzCoXgEq5myF7cdtBY,0.240081,D,-0.501294,0,0.284996,0.751266,-0.600098,0.662864,0.67246,-0.067353,0.441686,-0.444879,0.759701,-0.600098,,1,0,0,0
W3HEUB6UveyyGdfzXFezaf,0.055693,B,-0.874195,0,0.292357,0.416037,-0.385921,0.456098,0.277204,-0.252063,0.15861,-0.863242,0.1345,-0.385921,-0.252063,1,0,0,1
BzVKggYM8paPLu8CsnA4dW,0.168941,C,-0.621252,0,-0.157601,0.371572,-0.853506,0.433979,0.473688,-0.096664,-0.39601,0.497264,0.055677,-0.853506,,1,0,0,1
feU8Xpw9XGbg3pDJJ3FBuc,0.109481,D,-0.836392,0,-0.08723,0.471288,-0.807573,0.720063,0.304908,-0.255299,0.340562,-0.376235,0.60158,-0.807573,-0.255299,1,0,0,1
nieRhVKDf7WRy7JTDtVBQy,-0.162005,B,-0.568632,0,-0.165175,0.87621,-0.825509,0.48639,0.542573,0.186069,0.416718,0.737806,0.336331,-0.825509,0.186069,1,0,0,0
m4qJv8GUgrjvqHFwxjqtvA,0.331939,C,-0.5028,0,0.158186,0.658048,-0.566002,0.779944,0.711762,0.185754,-0.912655,0.978259,-0.729949,-0.566002,0.185754,1,0,0,0
QEvkW66FKs4ozVMaFBtxjT,-0.112291,C,-0.696524,0,0.027727,0.561322,-0.51145,0.613794,0.611888,-0.160443,-0.264903,-0.667702,0.133366,104,,1,0,1,0
43Lq6NVvKEqsaG6bmhQF5v,0.269265,B,-0.678817,0,0.257144,0.556728,-0.480818,0.776737,0.452622,-0.225148,0.187308,0.282474,-0.593997,-0.480818,-0.225148,1,0,0,1
J5ZNWcnTyVrrZuYPwd56ue,0.271433,E,-0.590799,0,-0.005412,,-0.583442,0.599354,0.426365,-0.276289,0.885661,-0.373084,0.507354,-0.583442,-0.276289,1,0,0,0
NyRx9ANuwg7yWNReBJdYTe,0.262021,E,-0.809404,0,-0.192618,0.541482,-0.656809,0.408204,0.327785,-0.072931,0.240798,0.311786,-0.064821,-68,,1,0,0,0
YysT3zDRVUGHJWn6wtxYK9,-0.011443,C,-0.693114,0,0.000648,0.665986,-0.341443,0.463234,0.618013,-0.082087,0.043926,0.931834,0.031736,-0.341443,-0.082087,1,0,0,1
ZYheqMvpAJxy3Digd6WY93,0.071224,B,-0.639368,0,0.195989,0.485083,-0.607715,0.57973,0.40466,-0.299407,,-0.979205,-0.35792,-0.607715,-0.299407,1,0,0,0
E5uaVmjDzkpiZ6V7mMqVqT,0.310075,E,-0.770648,0,-0.080212,0.716759,-0.579855,0.410179,0.422704,0.040828,-0.063098,-0.661744,-0.405796,-0.579855,,1,1,0,0
YbS7nArN52nzTVCREhxkhU,0.109239,B,-0.681345,0,-0.204102,0.605242,-0.717893,0.504487,0.744671,-0.067986,0.488597,-0.033359,-0.438566,-0.717893,,1,1,0,0
a6uxQevjwDdsUfQQqUtjch,0.093458,E,-0.71302,0,0.093753,0.396271,-0.574446,0.63187,0.707003,-0.243202,0.116355,0.999227,0.077734,-0.574446,-0.243202,1,0,0,0
jDYQWAxpoqNpvM6s8rkuUv,0.085687,D,-0.56118,0,0.150613,0.447706,-0.821839,0.459731,0.282629,-0.036353,-0.184109,0.939631,-0.745713,-0.821839,-0.036353,1,0,0,0
Q2DnaLJr4nAarKgZC3mYhM,-0.121016,D,-0.805401,0,0.001435,0.402112,-0.59413,0.612438,0.699469,0.000829,0.717075,-0.591363,-0.820206,-0.59413,0.000829,1,0,0,0
5ZTTxgoDF9cMQQtqDLoYeK,0.135556,D,-0.886269,0,-0.175748,0.516121,-0.390495,0.367973,0.48933,0.050573,0.665696,-0.913504,0.427349,-0.390495,0.050573,1,1,0,0
oDzCf8AWaBtxgJKaJrMkvE,0.039574,D,-0.700403,0,0.036546,0.748738,-0.798187,0.352171,0.271137,-0.270901,-0.104037,-0.503597,0.27961,-0.798187,-0.270901,1,0,0,0
GDNUK769rKvnJN44GHJEcA,0.099688,C,-0.781043,0,0.135669,0.440395,-0.739963,0.694203,0.462927,-0.246724,0.293139,-0.907534,-0.314167,-0.739963,-0.246724,1,0,0,0
DyV5mfpNpmEvBGJ4e2GAuF,-0.129301,D,-0.45288,0,0.035715,0.809972,-0.688598,0.500592,0.609833,0.089684,0.974074,0.53283,-0.292561,-0.688598,0.089684,1,0,0,0
3PEubnRDtqp6DB93TJ53Zw,0.051489,D,-0.719516,0,0.24047,0.551576,-0.638406,0.742406,0.669066,0.108464,-0.677519,0.778716,-0.258253,-0.638406,,1,0,0,0
SCF76foc7TJ58STxxVGUf6,-0.045757,E,-0.685752,0,0.267482,0.590832,-0.426867,0.407662,0.336622,0.070399,-0.674729,-0.80732,0.563461,-0.426867,,1,0,0,0
b5LfGPzpCcWCdNptd7b4T3,0.228342,C,-0.498023,0,-0.174949,0.800787,-0.718589,0.318443,0.61261,0.092544,-0.29783,-0.265206,0.234937,-0.718589,,1,0,0,0
G3sevLLuHdLQiSAvv6qbGy,0.252823,E,-0.458599,0,0.011098,0.428226,-0.363924,0.476701,0.577612,0.172435,0.141004,-0.070754,-0.347629,-0.363924,0.172435,1,1,0,0
hK6dSjyDfGmsbKsQybtDkh,-0.009834,C,-0.686591,0,0.233872,0.581643,-0.625296,0.65364,0.5991,-0.159374,-0.557864,-0.477283,-0.464717,-0.625296,-0.159374,1,0,0,0
GzMs3GdcQsZc5W4rKGmUes,-0.152263,D,-0.714153,0,-0.087079,0.478923,-0.575903,0.318131,0.265985,-0.012663,0.9388,0.779307,0.637273,-0.575903,-0.012663,1,1,0,0
CjveJSf243g4rZ7Lz2jt4T,0.164479,D,-0.767657,0,0.251623,0.799562,-0.473387,0.717987,0.429309,-0.153921,0.234993,-0.538791,-0.977475,-0.473387,-0.153921,1,0,0,0
gpGATLDVkF7TRGHW63qE4i,-0.139933,E,-0.764157,0,0.111714,0.708471,-0.852682,0.72919,0.289273,0.002763,-0.121007,0.558414,0.38591,-0.852682,,1,0,0,0
UR4a34rb8KqJc2JkV49Br8,0.30457,E,-0.422869,0,0.163176,0.687989,-0.750293,0.804442,0.272547,-0.208818,0.074921,0.143925,0.894838,-0.750293,-0.208818,1,1,1,1
cRdbeG526xJkUSFXHi78tu,0.354144,D,-0.699865,0,-0.179061,0.81499,-0.744934,0.328056,0.285707,0.089949,0.135407,-0.721348,0.115213,-0.744934,0.089949,1,0,0,0
cYt89LDGjVTgeqi5dWNC8o,-0.077057,E,-0.477128,0,-0.200948,0.791222,-0.525922,0.782351,0.54033,0.120519,-0.139743,-0.497446,-0.482904,-0.525922,,1,0,0,0
ES3RvoREhsjF9E4bdZpVJo,0.347869,E,-0.603065,0,-0.207508,0.733324,-0.502289,0.742737,0.408129,-0.117688,0.475287,0.662451,0.487104,-0.502289,-0.117688,1,0,0,0
SdUmU4CRVLP3dCLzyJvjXo,0.222566,E,-0.722892,0,-0.039241,0.393459,-0.848518,0.632181,0.637638,0.218336,-0.510605,-0.549054,-0.368002,-0.848518,,1,0,0,1
3Hd6eu9oGmcLAnPWoqyZ3p,0.128235,E,-0.840229,0,-0.111245,0.857332,-0.777225,0.677406,0.706226,0.138658,-0.695344,-0.560106,-0.361569,-225,0.138658,1,0,0,0
dvL3Yvouqb2tRdYg5mFkvn,0.355553,B,-0.621954,0,0.201147,0.53388,-0.369387,0.752182,0.583116,-0.168079,-0.10589,-0.284707,0.837893,-190,,1,0,0,0
AVLajrPPsTDXhEDEEh4tKJ,0.24082,C,-0.791341,0,0.08033,0.538473,-0.684685,0.781133,0.566677,0.038885,0.409054,-0.724635,0.328933,-0.684685,0.038885,1,0,0,1
cXZNNogKsSQHWxnx6Psc27,0.214166,D,-0.705129,0,0.274953,0.379543,-0.670377,0.755443,0.593267,-0.137437,0.028515,-0.63796,0.971013,-0.670377,-0.137437,1,0,0,0
86uSqnvYChfNMSbBRFGE9k,0.12625,D,-0.486309,0,-0.146675,0.541319,-0.717091,0.664484,0.295112,-0.141216,0.866723,-0.286588,0.269665,0,-0.141216,1,0,0,0
4dTHWX4iRuRakthqwtatFk,0.279812,E,-0.810562,0,-0.164436,0.486503,-0.662515,0.758211,0.477652,-0.264938,0.242718,-0.507463,0.270386,178,-0.264938,1,0,0,0
VANCUKtMDtvhwGb5rAdk6k,0.050855,E,-0.573994,0,-0.161866,0.781305,-0.459941,0.362479,0.592107,0.028204,-0.249122,0.473176,0.275925,-0.459941,0.028204,1,1,0,0
95zn2oNmBKSF7uLSD5USi4,0.029131,D,-0.808283,0,0.115911,0.799289,-0.764961,0.781075,0.686542,0.214122,-0.616074,0.513035,-0.72673,-0.764961,0.214122,1,0,0,0
Kpa8TrVhLfhtz7LPBb32s3,0.117673,E,-0.532361,0,-0.181747,0.422639,-0.435888,0.661795,0.563015,-0.236644,0.607613,-0.765986,-0.58256,0,-0.236644,1,0,0,0
H9bCk95yvkX9CLUYJGy6Ym,0.221333,A,-0.45141,0,0.188049,0.51677,-0.477535,0.502226,0.610333,0.033706,0.01898,0.960931,-0.421503,-0.477535,0.033706,1,0,0,0
JhucruyPJRUaTXSzYdMCfk,-0.030608,C,-0.537631,0,-0.214279,0.647046,-0.818103,0.339765,0.586783,0.115266,-0.147125,0.18948,-0.222691,-0.818103,,1,0,0,0
H4Cz9Kexo7Fje5JFFcxaJu,0.12521,D,-0.82129,0,0.011756,0.844679,-0.720573,0.810754,0.699415,0.203608,0.46465,-0.057666,-0.815566,22,,1,0,0,0
